,,,MATERIAL SUPLEMENTAR PARA O REDATOR DE CURRÍCULO - NÃO FAZ PARTE DA BNCC,
"Escuta, fala, pensamento e imaginação",,,,
Campo de experiências,Faixas Etárias,Objetivos de aprendizagem e desenvolvimento,Abordagem das experiências de aprendizagem,Sugestões para o currículo
"Escuta, fala, pensamento e imaginação",Crianças pequenas (4 anos a 5 anos e 11 meses),"(EI03EF01) 
Expressar ideias, desejos e sentimentos sobre suas vivências, por meio da linguagem oral e escrita (escrita espontânea), de fotos, desenhos e outras formas de expressão.","As crianças pequenas aprendem sobre a linguagem de forma processual, quando imersas em contextos nos quais se envolvem de maneira ativa na tentativa de comunicar os seus desejos, pensamentos, sentimentos e ideias sobre suas vivências. No contato diário com um conjunto de materiais impressos e nas diversas situações em que escutam a leitura de diferentes textos, as crianças se motivam para entender como funciona a língua escrita para que possam fazer uso dela. Conforme têm a oportunidade de se expressar por meio de diferentes linguagens, aprimoram e ampliam sua possibilidade de comunicação. Nesse contexto, é muito importante que as crianças pequenas possam expressar-se na linguagem oral, musical, corporal, na dança, no desenho, na escrita, na dramatização e em outras linguagens em vários momentos; participar de rodas de conversa onde discutem seus pontos de vista sobre um assunto; descrever como foi feita uma produção individual ou coletiva de um texto, uma escultura, uma coreografia etc; debater um assunto polêmico do cotidiano da unidade, por exemplo, como organizar o uso dos brinquedos do parque etc; organizar oralmente as etapas de uma tarefa, os passos de uma receita culinária, do preparo de uma tinta ou as regras para uma brincadeira, por exemplo, ou, ainda, expressar oralmente, e à sua maneira, opinião sobre um relato apresentado por um colega ou pelo(a) professor(a). É indicado também conversar com as crianças sobre suas fotos, desenhos e outras formas de expressão, garantindo um clima seguro e receptivo — isso contribui para que se expressem e busquem fazer uso de uma linguagem cada vez mais complexa para se fazerem entender. Encorajar as crianças a escrever umas às outras, aos seus familiares e a pessoas da comunidade escolar também cria um contexto significativo e envolvente para produzirem suas escritas, ainda que de forma não convencional.","Ao formular objetivos de aprendizagem e desenvolvimento específicos para o currículo, é desejável detalhar noções, habilidades, atitudes e/ou especificidades locais para cada um dos objetivos de aprendizagem e desenvolvimento da BNCC. Para as crianças pequenas, é possível construir objetivos específicos relacionados à oralidade, como, por exemplo, comunicar-se com diferentes intenções, em diferentes contextos, com diferentes interlocutores, respeitando sua vez de falar e escutando o outro com atenção. O currículo local pode, ainda, abordar atitudes a serem desenvolvidas, como ao interessar-se por fazer uso da escrita espontânea para comunicar suas ideias e opiniões aos colegas e professores(as)."
"Escuta, fala, pensamento e imaginação",Crianças pequenas (4 anos a 5 anos e 11 meses),"(EI03EF02) 
Inventar brincadeiras cantadas, poemas e canções, criando rimas, aliterações e ritmos.","As crianças pequenas gostam de jogar com a linguagem, se interessam por explorar seus sons, seus efeitos e intensidades. Imersas em situações na quais conhecem canções, parlendas, poemas e histórias rimadas de forma prazerosa e significativa, em contextos lúdicos e divertidos, se interessam por brincar com a linguagem, desenvolvendo a imaginação, a criatividade e construindo noções da linguagem oral e escrita. Nesse contexto, é importante que as crianças pequenas tenham a oportunidade de participar de situações que desenvolvam o hábito e o prazer por escutar, recitar e ler textos poéticos. Em tais atividades, vão observando a importância dos recursos gráficos, além da estrutura dos textos como poemas, parlendas e canções, brincando e declamando diversas vezes em suas brincadeiras ou outras situações significativas os textos conhecidos, chegando a memorizar trechos, participando de situações de declamação, divertindo-se e conversando sobre as palavras rimadas ao brincar com seu ritmo, identificando rimas, assonâncias e aliterações. Assim, podem compreender as relações entre a oralidade e a escrita ao participar de atividades em pequenos grupos nos quais buscam corresponder a leitura dos textos queridos que já conhecem de memória com sua escrita.","Ao formular objetivos de aprendizagem e desenvolvimento específicos para o currículo, é desejável detalhar noções, habilidades, atitudes e/ou especificidades locais para cada um dos objetivos de aprendizagem e desenvolvimento da BNCC. Para crianças pequenas, é possível construir objetivos específicos relacionados à estrutura dos textos poéticos, como, por exemplo, identificar que os textos se dividem em partes e o verso corresponde a uma delas, ou relacionados à recitação, declamando suas poesias e parlendas preferidas fazendo uso de ritmo e entonação. O currículo pode abordar atitudes a serem desenvolvidas, como divertir-se e interessar-se por brincar com os textos poéticos em suas brincadeiras livres com outras crianças. O currículo local pode, ainda, destacar textos poéticos típicos de seu território."
"Escuta, fala, pensamento e imaginação",Crianças pequenas (4 anos a 5 anos e 11 meses),"(EI03EF03) 
Escolher e folhear livros, procurando orientar-se por temas e ilustrações e tentando identificar palavras conhecidas.","As crianças pequenas aprendem a gostar das histórias e dos livros a partir das diferentes situações que vivenciam, nas quais têm prazer e atribuem sentido ao conteúdo das narrativas. Conforme têm a oportunidade de participar de situações de escuta de histórias, desenvolvem o hábito da leitura e, ao vivenciarem diversas oportunidades de escolha das histórias a serem lidas, desenvolvem o gosto pessoal por algumas narrativas. A participação em diferentes situações de leitura do mesmo texto também favorece que as crianças pequenas possam memorizar trechos deles, identificando palavras conhecidas, suas ilustrações, e a parte do texto escrito a que se referem. Nesse contexto, é importante que as crianças pequenas tenham a oportunidade de construir um repertório de histórias conhecidas e memorizadas, participando de situações de leitura com os colegas e sendo convidadas a recontar narrativas, apoiadas nas ilustrações ou na identificação de partes do texto ou de palavras conhecidas. É importante, também, que as crianças tenham acesso aos livros em diferentes momentos do seu cotidiano escolar e que possam explorá-los e manuseá-los com tempo, fazendo suas investigações, brincando com seu enredo e criando contextos de leitura e dramatização em suas brincadeiras individuais ou em pequenos grupos.","Ao formular objetivos de aprendizagem e desenvolvimento específicos para o currículo, é desejável detalhar noções, habilidades, atitudes e/ou especificidades locais para cada um dos objetivos de aprendizagem e desenvolvimento da BNCC. Para crianças pequenas, é possível construir objetivos específicos relacionados ao uso da ilustração como apoio para a leitura, como, por exemplo, ordenar ilustração e corresponder com o texto, e relacionados ao sistema de escrita, como em localizar no texto o nome dos personagens ou escrever lista dos personagens da história. O currículo local pode, ainda, abordar atitudes a serem desenvolvidas, como interessar-se por folhear livros e escolher aqueles que mais gostam para ler em momentos individuais."
"Escuta, fala, pensamento e imaginação",Crianças pequenas (4 anos a 5 anos e 11 meses),"(EI03EF04) 
Recontar histórias ouvidas e planejar coletivamente roteiros de vídeos e de encenações, definindo os contextos, os personagens, a estrutura da história.","As crianças pequenas aprendem a construir e representar histórias conforme têm a oportunidade de participar de situações em que podem se apropriar da estrutura da narrativa, identificando seus personagens e cenários, sua trama e sua sequência cronológica, bem como de situações em que possam brincar com o conteúdo de suas narrativas. Nesse contexto, é importante que as crianças pequenas participem de diversas situações de escuta de histórias, seja por meio da leitura pelo(a) professor(a), por outra criança, por apresentações de teatro, dança, assistindo a filmes ou escutando áudios. A partir da participação nessas situações, as crianças têm a oportunidade de se apropriar das narrativas e se interessam por conversar e brincar com elas, desenvolvendo sua imaginação e sua criatividade, ao mesmo tempo em que se apropriam de noções da linguagem e da escrita. Favorecer que as crianças possam ter um conjunto de histórias conhecidas, sobre as quais tenham conversado acerca dos elementos da estrutura narrativa, identificando personagens, cenários, trama e sequência cronológica, as apoia na construção de roteiros de vídeos ou encenações.","Ao formular objetivos de aprendizagem e desenvolvimento específicos para o currículo, é desejável detalhar noções, habilidades, atitudes e/ou especificidades locais para cada um dos objetivos de aprendizagem e desenvolvimento da BNCC. Para as crianças pequenas, é possível construir objetivos específicos relacionados à estrutura da narrativa, como, por exemplo, identificar personagens, cenários, trama, sequência cronológica, ação e intenção dos personagens, ou objetivos relacionados à língua escrita, como encontrar diálogos memorizados no texto escrito ou ditar partes da história ao participar da construção de roteiros de vídeos ou encenações. O currículo local pode, ainda, abordar atitudes a serem desenvolvidas, como envolver-se em situações de pequenos grupos, contribuindo para a construção de roteiros de vídeos ou encenações coletivas."
"Escuta, fala, pensamento e imaginação",Crianças pequenas (4 anos a 5 anos e 11 meses),"(EI03EF05) 
Recontar histórias ouvidas para produção de reconto escrito, tendo o professor como escriba.","As crianças pequenas interessam-se por escrever suas histórias e também por ditá-las a um(a) professor(a), que as escreve. A escolha por ditar a história, na maioria das vezes, acontece quando as crianças sabem que aquilo que querem escrever é mais complexo do que a capacidade que possuem para ler. Ao ter a oportunidade de ditar um texto aos(às) professores(as), as crianças podem desenvolver a capacidade de recuperar um texto de memória, de atentar para a sua linguagem, de controlar a velocidade da fala, de conscientizar-se sobre a estabilidade de um texto e sobre a diferença entre o texto escrito e aquilo que se fala sobre ele. Nesse contexto, é importante que as crianças pequenas tenham a oportunidade de escutar diversas vezes as mesmas histórias, de forma a se apropriarem de elementos de sua estrutura narrativa e memorizarem algumas partes. A partir de um bom repertório de narrações conhecidas e memorizadas, é importante que o(a) professor(a) convide e incentive as crianças para que criem e/ou escrevam suas próprias narrativas ou que recontem histórias tendo-o(a) como escriba. Escrever o texto ditado e depois lê-lo para elas faz com que as crianças verifiquem as mudanças necessárias para melhorar o texto escrito. Escrever de forma lenta e organizar contextos de ditado em pequenos grupos ajuda que todos possam participar da atividade. É desejável também que as crianças relatem aos colegas histórias lidas por alguém de sua família,  possam escolher e gravar poemas para enviar a outras crianças ou aos familiares e participem de sarau literário, narrando ou recitando seus textos favoritos.","Ao formular objetivos de aprendizagem e desenvolvimento específicos para o currículo, é desejável detalhar noções, habilidades, atitudes e/ou especificidades locais para cada um dos objetivos de aprendizagem e desenvolvimento da BNCC. Para as crianças pequenas, é possível construir objetivos específicos relacionados à língua escrita, como, por exemplo, compreender que a escrita representa a fala ou perceber a diferença entre dizer e ditar. O currículo local pode, ainda, abordar atitudes a serem desenvolvidas, como, por exemplo, interessar-se por participar de situações coletivas de criação ou reconto de histórias."
"Escuta, fala, pensamento e imaginação",Crianças pequenas (4 anos a 5 anos e 11 meses),"(EI03EF06) 
Produzir suas próprias histórias orais e escritas (escrita espontânea), em situações com função social significativa.","As crianças pequenas interessam-se por produzir suas histórias e por escrevê-las, registrando-as de diferentes formas, pela escrita espontânea, ditando ao(à) professor(a), desenhando, brincando de faz de conta etc. Ao ter a oportunidade de produzir suas histórias e comunicá-las em situações com função social significativa, reforçam sua imagem de comunicadores competentes e valorizam sua criatividade. Nesse contexto, é importante que as crianças pequenas tenham a oportunidade de escutar diversas vezes as mesmas histórias, de forma a se apropriarem de elementos de sua estrutura narrativa e memorizar partes do texto, podendo recontá-lo em contextos de função social, como em saraus literários, em uma peça de teatro, na construção da narrativa de uma encenação etc. Da mesma forma, um repertório de histórias conhecidas apoia as crianças na criação de suas próprias narrações, que podem ser contadas nas mesmas situações descritas anteriormente ou, ainda, que possam criar uma história de aventuras, definindo o ambiente em que ela ocorre, e as características e desafios de seus personagens.","Ao formular objetivos de aprendizagem e desenvolvimento específicos para o currículo, é desejável detalhar noções, habilidades, atitudes e/ou especificidades locais para cada um dos objetivos de aprendizagem e desenvolvimento da BNCC. Para as crianças pequenas, é possível construir objetivos específicos relacionados à linguagem escrita, como, por exemplo, fazer uso de expressões da linguagem da narrativa, como em ""era uma vez"", ao recontar ou criar suas próprias histórias. O currículo local pode, ainda, abordar atitudes a serem desenvolvidas, tais como envolver-se em situações de reconto de histórias expressando satisfação e gosto por suas conquistas."
"Escuta, fala, pensamento e imaginação",Crianças pequenas (4 anos a 5 anos e 11 meses),"(EI03EF07) 
Levantar hipóteses sobre gêneros textuais veiculados em portadores conhecidos, recorrendo a estratégias de observação gráfica e/ou de leitura.","As crianças pequenas aprendem sobre os textos ao terem diferentes oportunidades de escutar, explorar e conversar sobre diversos gêneros textuais em diferentes portadores. A apresentação cuidadosa dos diferentes gêneros, em seus portadores, apoia a criança na aproximação dos chamados conceitos letrados, que são aprendidos no contato com o mundo da escrita. Nesse contexto, é importante que as crianças pequenas tenham a oportunidade de conversar e explorar a lógica dos diferentes textos e seus portadores, nomeando alguns de seus elementos, como, por exemplo, a capa, a ilustração, o título, falando de sua estrutura, personagens, ações, informações, estrutura gráfica e observando atitudes típicas de um leitor, como buscar informação de ingredientes em uma receita, buscar o título de uma história no índice do livro etc.","Ao formular objetivos de aprendizagem e desenvolvimento específicos para o currículo, é desejável detalhar noções, habilidades, atitudes e/ou especificidades locais para cada um dos objetivos de aprendizagem e desenvolvimento da BNCC. Para as crianças pequenas, é possível construir objetivos específicos relacionados à identificação e uso das diferentes estruturas dos textos segundo seu gênero, como, por exemplo, fazer uso de livros de receitas em situações de brincadeiras de culinária ou buscar informações sobre algum tema a ser estudado em livros ou revistas com textos informativos, fazendo uso da leitura das fotos ou legendas para se apropriar de informações. O currículo local pode, ainda, abordar atitudes a serem desenvolvidas, como, por exemplo, interessar-se pela escuta da leitura de diferentes gêneros textuais."
"Escuta, fala, pensamento e imaginação",Crianças pequenas (4 anos a 5 anos e 11 meses),"(EI03EF08) 
Selecionar livros e textos de gêneros conhecidos para a leitura de um adulto e/ou para sua própria leitura (partindo de seu repertório sobre esses textos, como a recuperação pela memória, pela leitura das ilustrações etc.).","As crianças pequenas aprendem sobre os livros e os diferentes gêneros textuais a partir do contato com estes por meio da escuta de leituras e da exploração em suas brincadeiras. Essas atividades podem ser individuais, em pequenos ou grandes grupos, e em situações significativas, nas quais elas são convidadas a fazer uso social dos livros e textos. Nesse contexto, garantir, no cotidiano, diversas situações de escuta e de conversa sobre os diferentes gêneros, criando o gosto e o hábito pela leitura, construindo um repertório de textos e suportes conhecidos, participando de situações em que são convidadas a falar sobre a estrutura dos textos, identificando elementos gráficos, textuais e de conteúdo, contribuem para que as crianças desenvolvam o gosto pessoal por alguns textos e tenham a iniciativa de recorrer a eles de forma automotivada. Também é importante que possam identificar a escrita do nome próprio em listas e objetos e reconhecer o uso social de textos como convites para festas de aniversário, roteiro de atividades do dia, comunicados aos pais e listas variadas.","Ao formular objetivos de aprendizagem e desenvolvimento específicos para o currículo, é desejável detalhar noções, habilidades, atitudes e/ou especificidades locais para cada um dos objetivos de aprendizagem e desenvolvimento da BNCC. Para as crianças pequenas, é possível construir objetivos específicos relacionados à identificação de elementos da estrutura de gêneros textuais, como, por exemplo, identificar um livro pela leitura do título, apresentar uma história mostrando a capa do livro, o título e o nome do autor, ler o texto de um poema identificando as palavras que rimam etc. O currículo local pode, ainda, abordar atitudes a serem desenvolvidas, tais como interessar-se por ler diferentes gêneros textuais, e também identificar portadores e gêneros textuais que sejam típicos de seu território."
